Tensao,Corrente
11.57,2533.35
11.54,2690.00
11.54,2602.86
11.57,2651.25
11.54,2709.19
11.54,2745.38
11.52,2690.27
11.54,2692.11
11.54,2814.24
11.54,2762.41
11.54,2811.03
11.47,2934.34
11.49,2954.52
11.49,2955.03
11.49,2921.13
11.52,2966.10
11.54,3002.93
11.52,2996.83
11.54,3018.41
11.49,2970.15
11.49,2956.61
11.49,2978.28
11.52,2983.20
11.52,3004.99
11.49,3017.94
11.52,3054.15
11.52,2983.61
11.47,3002.28
11.52,2993.95
11.49,2962.57
11.52,3027.41
11.52,3020.33
11.49,2958.41
11.49,3004.29
11.49,3014.96
11.49,2946.73
11.52,3021.41
11.47,3021.79
11.49,3007.88
11.52,3054.64
11.49,2954.40
11.49,2970.21
11.47,3025.29
11.49,2996.02
11.49,3023.51
11.47,3028.42
11.47,3031.75
11.49,2977.58
11.49,3011.39
11.47,3004.18
11.47,2998.26
11.44,3024.30
11.47,3050.88
11.44,3119.95
11.44,3179.95
11.39,3188.20
11.42,3195.50
11.42,3182.62
11.39,3193.22
11.42,3192.80
11.42,3192.83
11.37,3196.85
11.37,3195.97
11.37,3200.00
11.37,3199.92
11.32,3199.52
11.35,3200.00
11.35,3200.00
11.27,3200.00
11.27,3200.00
11.22,3200.00
11.17,3200.00
11.20,3200.00
11.17,3200.00
11.15,3200.00
11.15,3200.00
11.10,3200.00
11.12,3200.00
11.10,3200.00
11.12,3200.00
11.10,3200.00
11.12,3200.00
11.07,3200.00
11.07,3200.00
11.10,3200.00
11.07,3200.00
11.07,3200.00
11.07,3200.00
11.12,3200.00
11.10,3200.00
11.07,3200.00
11.12,3200.00
11.10,3200.00
11.10,3200.00
11.07,3200.00
11.07,3200.00
11.10,3200.00
11.10,3200.00
11.10,3200.00
11.10,3200.00
11.07,3200.00
11.10,3200.00
11.07,3200.00
11.07,3200.00
11.07,3200.00
11.10,3200.00
11.05,3200.00
11.10,3200.00
11.07,3200.00
11.10,3200.00
11.07,3200.00
11.05,3200.00
11.05,3200.00
11.10,3200.00
11.05,3200.00
11.07,3200.00
11.07,3200.00
11.07,3200.00
11.05,3200.00
11.10,3200.00
11.05,3200.00
11.07,3200.00
11.10,3200.00
11.05,3200.00
11.02,3200.00
11.07,3200.00
11.07,3200.00
11.07,3200.00
11.10,3200.00
11.05,3200.00
11.05,3200.00
11.10,3200.00
11.07,3200.00
11.05,3200.00
11.05,3200.00
11.07,3200.00
11.05,3200.00
11.05,3200.00
11.05,3200.00
11.12,3200.00
11.20,3200.00
11.20,3200.00
11.30,3200.00
11.27,3200.00
11.25,3200.00
11.27,3200.00
11.27,3200.00
11.27,3199.08
11.37,2935.03
11.37,3019.57
11.37,3003.58
11.35,3010.19
11.35,3009.01
11.35,3030.57
11.37,3010.90
11.37,3003.63
11.37,3003.13
11.37,2973.24
11.42,2573.69
11.44,2586.31
11.44,2475.46
11.47,2390.07
11.44,2441.91
11.47,2463.34
11.47,2393.92
11.49,2198.10
11.49,2201.36
11.52,2065.82
11.54,1977.48
11.52,1989.50
11.54,1793.30
11.54,1800.25
11.57,1851.72
11.57,1835.51
11.57,1824.41
11.54,1806.93
11.54,1797.55
11.57,1802.25
11.62,1317.39
11.64,1314.41
11.69,1173.13
11.69,1129.76
11.69,1124.06
11.69,1114.98
11.67,1107.07
11.76,665.34
11.76,693.19
11.76,685.36
11.76,720.93
11.76,700.38
11.76,708.47
11.76,705.89
11.79,701.26
11.79,699.43
11.79,697.29
11.76,691.77
11.76,852.36
11.76,821.66
11.74,816.78
11.74,807.23
11.76,816.02
11.74,815.46
11.74,804.56
11.76,826.63
11.74,817.67
11.76,835.19
11.76,830.42
11.76,816.82
11.74,819.79
11.76,798.18
11.76,802.40
11.76,822.43
11.76,805.67
11.76,831.99
11.74,804.49
11.76,818.97
11.76,818.22
11.79,824.98
11.76,818.69
11.76,806.55
11.76,816.16
11.76,807.04
11.79,804.01
11.76,820.89
11.76,819.73
11.76,814.96
11.76,837.85
11.76,845.42
11.74,829.48
11.76,859.91
11.76,850.11
11.76,844.12
11.74,953.06
11.76,889.72
11.74,908.58
11.74,916.11
11.76,881.41
11.76,903.74
11.74,897.30
11.74,939.94
11.74,949.91
11.71,971.12
11.71,987.56
11.76,972.56
11.74,971.74
11.74,968.08
11.74,971.44
11.71,964.93
11.74,971.05
11.74,977.11
11.74,965.87
11.71,971.07
11.74,959.05
11.74,964.70
11.71,966.16
11.74,964.96
11.74,969.14
11.74,943.23
11.76,976.06
11.74,981.97
11.74,956.89
11.74,961.84
11.71,984.40
11.71,987.39
11.71,1001.30
11.74,991.98
11.74,992.18
11.74,966.27
11.74,963.15
11.74,1025.19
11.74,982.68
11.76,988.49
11.74,946.82
11.74,946.88
11.74,943.88
11.74,952.60
11.74,1105.64
11.74,1101.02
11.71,1064.48
11.74,1194.27
11.69,1035.52
11.74,1054.78
11.67,1130.83
11.74,1125.47
11.74,1138.34
11.74,1111.10
11.76,1115.37
11.74,934.56
11.74,946.67
11.74,999.23
11.71,1235.46
11.67,1249.88
11.74,1226.50
11.74,1061.55
11.74,957.34
11.74,938.09
11.74,984.47
11.74,962.91
11.74,1002.24
11.74,947.83
